Id,Code,Name,Version
1,tt0094675,Ariel,1
2,tt0092149,Varjoja paratiisissa,1
3,tt0113101,Four Rooms,1
4,tt0107286,Judgment Night,1
5,tt0076759,Star Wars,1
6,tt0266543,Finding Nemo,1
7,tt0109830,Forrest Gump,1
8,tt0169547,American Beauty,1
9,tt0033467,Citizen Kane,1
10,tt0168629,Dancer in the Dark,1
11,tt0411267,The Dark,1
12,tt0119116,The Fifth Element,1
13,tt0017136,Metropolis,1
14,tt0314412,My Life Without Me,1
15,tt0060371,The Endless Summer,1
16,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,1
17,tt0266697,Kill Bill: Vol. 1,1
18,tt0418763,Jarhead,1
19,tt0352994,LaLehet Al HaMayim,1
20,tt0411705,9 Songs,1
21,tt0078788,Apocalypse Now,1
22,tt1530535,彼女の想いで,1
23,tt0105695,Unforgiven,1
24,tt0462538,The Simpsons Movie,1
25,tt0338013,Eternal Sunshine of the Spotless Mind,1
26,tt0245712,Amores perros,1
27,tt0383574,Pirates of the Caribbean: Dead Man's Chest,1
28,tt0399146,A History of Violence,1
29,tt0062622,2001: A Space Odyssey,1
30,tt0114746,Twelve Monkeys,1
31,tt0287467,Hable con ella,1
32,tt0298203,8 Mile,1
33,tt0118548,Absolute Power,1
34,tt0445620,Paradise Now,1
35,tt0088846,Brazil,1
36,tt0358273,Walk the Line,1
37,tt0405159,Million Dollar Baby,1
38,tt0249462,Billy Elliot,1
39,tt0120586,American History X,1
40,tt0407304,War of the Worlds,1
41,tt0116996,Mars Attacks!,1
42,tt0112471,Before Sunrise,1
43,tt0209144,Memento,1
44,tt0083658,Blade Runner,1
45,tt0299977,英雄,1
46,tt0381681,Before Sunset,1
47,tt0087544,風の谷のナウシカ,1
48,tt0430357,Miami Vice,1
49,tt0374102,Open Water,1
50,tt0082971,Raiders of the Lost Ark,1
51,tt0430051,Elementarteilchen,1
52,tt0087469,Indiana Jones and the Temple of Doom,1
53,tt0092890,Dirty Dancing,1
54,tt0097576,Indiana Jones and the Last Crusade,1
55,tt0086960,Beverly Hills Cop,1
56,tt0023037,Las Hurdes,1
57,tt0169024,Megacities,1
58,tt0052561,Anatomy of a Murder,1
59,tt0120591,Armageddon,1
60,tt0092644,Beverly Hills Cop II,1
61,tt0084827,Tron,1
62,tt0172495,Gladiator,1
63,tt0185125,Todo sobre mi madre,1
64,tt0120735,"Lock, Stock and Two Smoking Barrels",1
65,tt0110413,Léon,1
66,tt0315543,Elsker dig for evigt,1
67,tt0075314,Taxi Driver,1
68,tt0130827,Lola rennt,1
69,tt0088763,Back to the Future,1
70,tt0093773,Predator,1
71,tt0208092,Snatch,1
72,tt0108394,Trois couleurs : Bleu,1
73,tt0111507,Trois couleurs : Blanc,1
74,tt0111495,Trois couleurs : Rouge,1
75,tt0086250,Scarface,1
76,tt0243862,Italiensk for begyndere,1
77,tt0374546,봄 여름 가을 겨울 그리고 봄,1
78,tt0100405,Pretty Woman,1
79,tt0118715,The Big Lebowski,1
80,tt0416320,Match Point,1
81,tt0094226,The Untouchables,1
82,tt0367594,Charlie and the Chocolate Factory,1
83,tt0120737,The Lord of the Rings: The Fellowship of the Ring,1
84,tt0167261,The Lord of the Rings: The Two Towers,1
85,tt0167260,The Lord of the Rings: The Return of the King,1
86,tt0077869,The Lord of the Rings,1
87,tt0086961,Bez Konca,1
88,tt0084549,Przypadek,1
89,tt0119698,もののけ姫,1
90,tt0245429,千と千尋の神隠し,1
91,tt0065780,The Rolling Stones: Gimme Shelter,1
92,tt0054205,Primary,1
93,tt0190590,"O Brother, Where Art Thou?",1
94,tt0061589,Dont Look Back,1
95,tt0022913,Freaks,1
96,tt0107048,Groundhog Day,1
97,tt0021814,Dracula,1
98,tt0164756,Mifunes sidste sang,1
99,tt0275491,La mala educación,1
100,tt0246578,Donnie Darko,1
101,tt0388795,Brokeback Mountain,1
102,tt0020629,All Quiet on the Western Front,1
103,tt0093191,Der Himmel über Berlin,1
104,tt0115751,Breaking the Waves,1
105,tt0190332,卧虎藏龙,1
106,tt0053198,Les Quatre Cents Coups,1
107,tt0430576,The Secret Life of Words,1
108,tt0094625,アキラ,1
109,tt0083511,48 Hrs.,1
110,tt0079945,Star Trek: The Motion Picture,1
111,tt0335266,Lost in Translation,1
112,tt0084726,Star Trek II: The Wrath of Khan,1
113,tt0468569,The Dark Knight,1
114,tt0329767,Wilbur begår selvmord,1
115,tt0088170,Star Trek III: The Search for Spock,1
116,tt0119472,Knockin' on Heaven's Door,1
117,tt0109255,Der bewegte Mann,1
118,tt0000012,L'arrivée d'un train en gare de La Ciotat,1
119,tt0240772,Ocean's Eleven,1
120,tt0099487,Edward Scissorhands,1
121,tt0349903,Ocean's Twelve,1
122,tt0054698,Breakfast at Tiffany's,1
123,tt0096874,Back to the Future Part II,1
124,tt0082100,La Boum,1
125,tt0272152,K-PAX,1
126,tt0092007,Star Trek IV: The Voyage Home,1
127,tt0100403,Predator 2,1
128,tt0289043,28 Days Later,1
129,tt0083686,La Boum 2,1
130,tt0098382,Star Trek V: The Final Frontier,1
131,tt0046672,"20,000 Leagues Under the Sea",1
132,tt0102975,Star Trek VI: The Undiscovered Country,1
133,tt0095250,Le Grand Bleu,1
134,tt0387564,Saw,1
135,tt0101889,The Fisher King,1
136,tt0109303,Blown Away,1
137,tt0373926,The Interpreter,1
138,tt0181689,Minority Report,1
139,tt0452624,The Good German,1
140,tt0098663,The Wizard,1
141,tt0119396,Jackie Brown,1
142,tt0066921,A Clockwork Orange,1
143,tt0425210,Lucky Number Slevin,1
144,tt0401792,Sin City,1
145,tt0458481,Sin City: A Dame to Kill For,1
146,tt0091605,The Name of the Rose,1
147,tt0111280,Star Trek: Generations,1
148,tt0211915,Le fabuleux destin d'Amélie Poulain,1
149,tt0023622,Trouble in Paradise,1
150,tt0099088,Back to the Future Part III,1
151,tt0112573,Braveheart,1
152,tt0035446,To Be or Not to Be,1
153,tt0117731,Star Trek: First Contact,1
154,tt0120844,Star Trek: Insurrection,1
155,tt0253754,Star Trek: Nemesis,1
156,tt0070379,Mean Streets,1
157,tt0046268,Le salaire de la peur,1
158,tt0395169,Hotel Rwanda,1
159,tt0287624,Paradise Found,1
160,tt0097165,Dead Poets Society,1
161,tt0276820,Berlin is in Germany,1
162,tt0036613,Arsenic and Old Lace,1
163,tt0053125,North by Northwest,1
164,tt0489270,Saw III,1
165,tt0432348,Saw II,1
166,tt0071141,Angst essen Seele auf,1
167,tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,1
168,tt0088247,The Terminator,1
169,tt0441909,Volver,1
170,tt0048028,East of Eden,1
171,tt0048545,Rebel Without a Cause,1
172,tt0017668,Berlin: Die Sinfonie der Grosstadt,1
173,tt0032976,Rebecca,1
174,tt0075902,Człowiek z marmuru,1
175,tt0082222,Czlowiek z zelaza,1
176,tt0171804,Boys Don't Cry,1
177,tt0086066,The Outsiders,1
178,tt0020697,Der blaue Engel,1
179,tt0026138,Bride of Frankenstein,1
180,tt0365737,Syriana,1
181,tt0086216,Rumble Fish,1
182,tt0080117,The Wanderers,1
